2018-10-16	10:30 PM	OKC	GSW	Oklahoma City Thunder	Golden State Warriors
2018-10-16	8:00 PM	PHI	BOS	Philadelphia 76ers	Boston Celtics
2018-10-17	10:00 PM	UTA	SAC	Utah Jazz	Sacramento Kings
2018-10-17	10:30 PM	DAL	PHX	Dallas Mavericks	Phoenix Suns
2018-10-17	10:30 PM	DEN	LAC	Denver Nuggets	LA Clippers
2018-10-17	7:00 PM	BKN	DET	Brooklyn Nets	Detroit Pistons
2018-10-17	7:00 PM	MEM	IND	Memphis Grizzlies	Indiana Pacers
2018-10-17	7:00 PM	MIA	ORL	Miami Heat	Orlando Magic
2018-10-17	7:00 PM	MIL	CHA	Milwaukee Bucks	Charlotte Hornets
2018-10-17	7:30 PM	ATL	NYK	Atlanta Hawks	New York Knicks
2018-10-17	7:30 PM	CLE	TOR	Cleveland Cavaliers	Toronto Raptors
2018-10-17	8:00 PM	NOP	HOU	New Orleans Pelicans	Houston Rockets
2018-10-17	8:30 PM	MIN	SAS	Minnesota Timberwolves	San Antonio Spurs
2018-10-18	10:30 PM	LAL	POR	Los Angeles Lakers	Portland Trail Blazers
2018-10-18	8:00 PM	CHI	PHI	Chicago Bulls	Philadelphia 76ers
2018-10-18	8:00 PM	MIA	WAS	Miami Heat	Washington Wizards
2018-10-19	10:30 PM	GSW	UTA	Golden State Warriors	Utah Jazz
2018-10-19	10:30 PM	OKC	LAC	Oklahoma City Thunder	LA Clippers
2018-10-19	7:00 PM	CHA	ORL	Charlotte Hornets	Orlando Magic
2018-10-19	7:30 PM	NYK	BKN	New York Knicks	Brooklyn Nets
2018-10-19	8:00 PM	ATL	MEM	Atlanta Hawks	Memphis Grizzlies
2018-10-19	8:00 PM	BOS	TOR	Boston Celtics	Toronto Raptors
2018-10-19	8:00 PM	CLE	MIN	Cleveland Cavaliers	Minnesota Timberwolves
2018-10-19	8:00 PM	SAC	NOP	Sacramento Kings	New Orleans Pelicans
2018-10-19	8:30 PM	IND	MIL	Indiana Pacers	Milwaukee Bucks
2018-10-20	10:00 PM	SAS	POR	San Antonio Spurs	Portland Trail Blazers
2018-10-20	10:30 PM	HOU	LAL	Houston Rockets	Los Angeles Lakers
2018-10-20	7:00 PM	BKN	IND	Brooklyn Nets	Indiana Pacers
2018-10-20	7:00 PM	TOR	WAS	Toronto Raptors	Washington Wizards
2018-10-20	7:30 PM	BOS	NYK	Boston Celtics	New York Knicks
2018-10-20	7:30 PM	ORL	PHI	Orlando Magic	Philadelphia 76ers
2018-10-20	8:00 PM	CHA	MIA	Charlotte Hornets	Miami Heat
2018-10-20	8:00 PM	DET	CHI	Detroit Pistons	Chicago Bulls
2018-10-20	8:30 PM	MIN	DAL	Minnesota Timberwolves	Dallas Mavericks
2018-10-20	9:00 PM	PHX	DEN	Phoenix Suns	Denver Nuggets
2018-10-21	6:00 PM	ATL	CLE	Atlanta Hawks	Cleveland Cavaliers
2018-10-21	7:00 PM	SAC	OKC	Sacramento Kings	Oklahoma City Thunder
2018-10-21	8:00 PM	GSW	DEN	Golden State Warriors	Denver Nuggets
