id,game-code,game-date,game-time
game_0021900001,20191022/NOPTOR,2019-10-22,8:00 pm ET
game_0021900002,20191022/LALLAC,2019-10-22,10:30 pm ET
game_0021900003,20191023/CHICHA,2019-10-23,7:00 pm ET
game_0021900004,20191023/DETIND,2019-10-23,7:00 pm ET
game_0021900005,20191023/CLEORL,2019-10-23,7:00 pm ET
game_0021900006,20191023/MINBKN,2019-10-23,7:30 pm ET
game_0021900007,20191023/MEMMIA,2019-10-23,7:30 pm ET
game_0021900008,20191023/BOSPHI,2019-10-23,7:30 pm ET
game_0021900009,20191023/WASDAL,2019-10-23,8:30 pm ET
game_0021900010,20191023/NYKSAS,2019-10-23,8:30 pm ET
game_0021900011,20191023/OKCUTA,2019-10-23,9:00 pm ET
game_0021900012,20191023/SACPHX,2019-10-23,10:00 pm ET
game_0021900013,20191023/DENPOR,2019-10-23,10:00 pm ET
game_0021900014,20191024/ATLDET,2019-10-24,7:00 pm ET
game_0021900015,20191024/MILHOU,2019-10-24,8:00 pm ET
game_0021900016,20191024/LACGSW,2019-10-24,10:30 pm ET
game_0021900017,20191025/TORBOS,2019-10-25,7:00 pm ET
game_0021900018,20191025/MINCHA,2019-10-25,7:00 pm ET
game_0021900019,20191025/NYKBKN,2019-10-25,7:30 pm ET
game_0021900020,20191025/CHIMEM,2019-10-25,8:00 pm ET
game_0021900021,20191025/DALNOP,2019-10-25,8:00 pm ET
game_0021900022,20191025/WASOKC,2019-10-25,8:00 pm ET
game_0021900023,20191025/PHXDEN,2019-10-25,9:00 pm ET
game_0021900024,20191025/PORSAC,2019-10-25,10:00 pm ET
game_0021900025,20191025/UTALAL,2019-10-25,10:30 pm ET
game_0021900026,20191026/MIAMIL,2019-10-26,5:00 pm ET
game_0021900027,20191026/PHIDET,2019-10-26,7:00 pm ET
game_0021900028,20191026/ORLATL,2019-10-26,7:30 pm ET
game_0021900029,20191026/BOSNYK,2019-10-26,7:30 pm ET
game_0021900030,20191026/INDCLE,2019-10-26,8:00 pm ET
game_0021900031,20191026/TORCHI,2019-10-26,8:00 pm ET
game_0021900032,20191026/NOPHOU,2019-10-26,8:00 pm ET
game_0021900033,20191026/WASSAS,2019-10-26,8:30 pm ET
game_0021900034,20191026/SACUTA,2019-10-26,9:00 pm ET
game_0021900035,20191026/LACPHX,2019-10-26,10:00 pm ET
game_0021900036,20191027/GSWOKC,2019-10-27,3:30 pm ET
game_0021900037,20191027/BKNMEM,2019-10-27,6:00 pm ET
game_0021900038,20191027/PORDAL,2019-10-27,7:00 pm ET
game_0021900039,20191027/MIAMIN,2019-10-27,7:00 pm ET
game_0021900040,20191027/CHALAL,2019-10-27,9:30 pm ET
game_0021900041,20191028/INDDET,2019-10-28,7:00 pm ET
game_0021900042,20191028/CHINYK,2019-10-28,7:00 pm ET
game_0021900043,20191028/PHIATL,2019-10-28,7:30 pm ET
