game_id	url	TV	game_date	game_time_et	away_team	home_team	away_team_full_name	home_team_full_name	game_number_this_day	game_number_this_day_and_time	arena	city	away_team_espn_abbr	home_team_espn_abbr
1	https://www.nba.com/game/gsw-vs-bkn-0022000001	TNT	12/22/20	7:00 PM ET	GSW	BKN	Golden State Warriors	Brooklyn Nets	1	1	Barclays Center	"Brooklyn, NY"	gsw	bkn
2	https://www.nba.com/game/lac-vs-lal-0022000002	TNT	12/22/20	10:00 PM ET	LAC	LAL	LA Clippers	Los Angeles Lakers	2	1	Staples Center	"Los Angeles, CA"	lac	lal
10	https://www.nba.com/game/cha-vs-cle-0022000010		12/23/20	7:00 PM ET	CHA	CLE	Charlotte Hornets	Cleveland Cavaliers	3	1	Rocket Mortgage FieldHouse	"Cleveland, OH"	cha	cle
11	https://www.nba.com/game/nyk-vs-ind-0022000011		12/23/20	7:00 PM ET	NYK	IND	New York Knicks	Indiana Pacers	4	2	Bankers Life Fieldhouse	"Indianapolis, IN"	nyk	ind
12	https://www.nba.com/game/mia-vs-orl-0022000012		12/23/20	7:00 PM ET	MIA	ORL	Miami Heat	Orlando Magic	5	3	Amway Center	"Orlando, FL"	mia	orl
13	https://www.nba.com/game/was-vs-phi-0022000013		12/23/20	7:00 PM ET	WAS	PHI	Washington Wizards	Philadelphia 76ers	6	4	Wells Fargo Center	"Philadelphia, PA"	was	phi
3	https://www.nba.com/game/mil-vs-bos-0022000003	TNT	12/23/20	7:30 PM ET	MIL	BOS	Milwaukee Bucks	Boston Celtics	1	1	TD Garden	"Boston, MA"	mil	bos
14	https://www.nba.com/game/nop-vs-tor-0022000014		12/23/20	7:30 PM ET	NOP	TOR	New Orleans Pelicans	Toronto Raptors	7	2	Amalie Arena	"Tampa, FL"	no	tor
15	https://www.nba.com/game/atl-vs-chi-0022000015		12/23/20	8:00 PM ET	ATL	CHI	Atlanta Hawks	Chicago Bulls	8	1	United Center	"Chicago, IL"	atl	chi
16	https://www.nba.com/game/okc-vs-hou-0022000016	Fox Sports Oklahoma	12/23/20	8:00 PM ET	OKC	HOU	Oklahoma City Thunder	Houston Rockets	9	2	Toyota Center	"Houston, TX"	okc	hou
17	https://www.nba.com/game/sas-vs-mem-0022000017		12/23/20	8:00 PM ET	SAS	MEM	San Antonio Spurs	Memphis Grizzlies	10	3	FedExForum	"Memphis, TN"	sas	mem
18	https://www.nba.com/game/det-vs-min-0022000018		12/23/20	8:00 PM ET	DET	MIN	Detroit Pistons	Minnesota Timberwolves	11	4	Target Center	"Minneapolis, MN"	det	min
19	https://www.nba.com/game/sac-vs-den-0022000019		12/23/20	9:00 PM ET	SAC	DEN	Sacramento Kings	Denver Nuggets	12	1	Ball Arena	"Denver, CO"	sac	den
20	https://www.nba.com/game/uta-vs-por-0022000020	NBC Sports Northwest	12/23/20	10:00 PM ET	UTA	POR	Utah Jazz	Portland Trail Blazers	13	1	Moda Center	"Portland, OR"	uth	por
4	https://www.nba.com/game/dal-vs-phx-0022000004	ESPN	12/23/20	10:30 PM ET	DAL	PHX	Dallas Mavericks	Phoenix Suns	2	1	PHX Arena	"Phoenix, AZ"	dal	phx
6	https://www.nba.com/game/gsw-vs-mil-0022000006	ABC	12/25/20	2:30 PM ET	GSW	MIL	Golden State Warriors	Milwaukee Bucks	2	1	Fiserv Forum	"Milwaukee, WI"	gsw	mil
7	https://www.nba.com/game/bkn-vs-bos-0022000007	ABC	12/25/20	5:00 PM ET	BKN	BOS	Brooklyn Nets	Boston Celtics	3	1	TD Garden	"Boston, MA"	bkn	bos
8	https://www.nba.com/game/dal-vs-lal-0022000008	ABC/ESPN	12/25/20	8:00 PM ET	DAL	LAL	Dallas Mavericks	Los Angeles Lakers	4	1	Staples Center	"Los Angeles, CA"	dal	lal
9	https://www.nba.com/game/lac-vs-den-0022000009	"ESPN, Fox Sports Prime Tic"	12/25/20	10:30 PM ET	LAC	DEN	LA Clippers	Denver Nuggets	5	1	Ball Arena	"Denver, CO"	lac	den
5	https://www.nba.com/game/nop-vs-mia-0022000005	ESPN	12/25/20	12:00 PM ET	NOP	MIA	New Orleans Pelicans	Miami Heat	1	1	AmericanAirlines Arena	"Miami, FL"	no	mia
21	https://www.nba.com/game/atl-vs-mem-0022000021	NBA TV	12/26/20	5:00 PM ET	ATL	MEM	Atlanta Hawks	Memphis Grizzlies	1	1	FedExForum	"Memphis, TN"	atl	mem
22	https://www.nba.com/game/okc-vs-cha-0022000022	Fox Sports Oklahoma	12/26/20	7:00 PM ET	OKC	CHA	Oklahoma City Thunder	Charlotte Hornets	2	1	Spectrum Center	"Charlotte, NC"	okc	cha
23	https://www.nba.com/game/cle-vs-det-0022000023		12/26/20	7:00 PM ET	CLE	DET	Cleveland Cavaliers	Detroit Pistons	3	2	Little Caesars Arena	"Detroit, MI"	cle	det
24	https://www.nba.com/game/orl-vs-was-0022000024		12/26/20	7:00 PM ET	ORL	WAS	Orlando Magic	Washington Wizards	4	3	Capital One Arena	"Washington, DC"	orl	was
25	https://www.nba.com/game/phi-vs-nyk-0022000025	NBA TV	12/26/20	7:30 PM ET	PHI	NYK	Philadelphia 76ers	New York Knicks	5	1	Madison Square Garden	"New York, NY"	phi	nyk
26	https://www.nba.com/game/ind-vs-chi-0022000026		12/26/20	8:00 PM ET	IND	CHI	Indiana Pacers	Chicago Bulls	6	1	United Center	"Chicago, IL"	ind	chi
27	https://www.nba.com/game/tor-vs-sas-0022000027		12/26/20	8:30 PM ET	TOR	SAS	Toronto Raptors	San Antonio Spurs	7	1	AT&T Center	"San Antonio, TX"	tor	sas
28	https://www.nba.com/game/min-vs-uta-0022000028		12/26/20	9:00 PM ET	MIN	UTA	Minnesota Timberwolves	Utah Jazz	8	1	Vivint Smart Home Arena	"Salt Lake City, UT"	min	uth
29	https://www.nba.com/game/hou-vs-por-0022000029	"NBA TV, NBC Sports Northwest"	12/26/20	10:00 PM ET	HOU	POR	Houston Rockets	Portland Trail Blazers	9	1	Moda Center	"Portland, OR"	hou	por
30	https://www.nba.com/game/phx-vs-sac-0022000030		12/26/20	10:00 PM ET	PHX	SAC	Phoenix Suns	Sacramento Kings	10	2	Golden 1 Center	"Sacramento, CA"	phx	sac
31	https://www.nba.com/game/dal-vs-lac-0022000031	"NBA TV, Fox Sports Prime Tic"	12/27/20	3:30 PM ET	DAL	LAC	Dallas Mavericks	LA Clippers	1	1	Staples Center	"Los Angeles, CA"	dal	lac
32	https://www.nba.com/game/bkn-vs-cha-0022000032	NBA TV	12/27/20	7:00 PM ET	BKN	CHA	Brooklyn Nets	Charlotte Hornets	2	1	Spectrum Center	"Charlotte, NC"	bkn	cha
33	https://www.nba.com/game/orl-vs-was-0022000033		12/27/20	7:00 PM ET	ORL	WAS	Orlando Magic	Washington Wizards	3	2	Capital One Arena	"Washington, DC"	orl	was
34	https://www.nba.com/game/sas-vs-nop-0022000034		12/27/20	7:00 PM ET	SAS	NOP	San Antonio Spurs	New Orleans Pelicans	4	3	Smoothie King Center	"New Orleans, LA"	sas	no
35	https://www.nba.com/game/phi-vs-cle-0022000035		12/27/20	7:30 PM ET	PHI	CLE	Philadelphia 76ers	Cleveland Cavaliers	5	1	Rocket Mortgage FieldHouse	"Cleveland, OH"	phi	cle
36	https://www.nba.com/game/mil-vs-nyk-0022000036		12/27/20	7:30 PM ET	MIL	NYK	Milwaukee Bucks	New York Knicks	6	2	Madison Square Garden	"New York, NY"	mil	nyk
37	https://www.nba.com/game/bos-vs-ind-0022000037		12/27/20	8:00 PM ET	BOS	IND	Boston Celtics	Indiana Pacers	7	1	Bankers Life Fieldhouse	"Indianapolis, IN"	bos	ind
38	https://www.nba.com/game/gsw-vs-chi-0022000038		12/27/20	8:00 PM ET	GSW	CHI	Golden State Warriors	Chicago Bulls	8	2	United Center	"Chicago, IL"	gsw	chi
39	https://www.nba.com/game/phx-vs-sac-0022000039		12/27/20	9:00 PM ET	PHX	SAC	Phoenix Suns	Sacramento Kings	9	1	Golden 1 Center	"Sacramento, CA"	phx	sac
40	https://www.nba.com/game/min-vs-lal-0022000040	"NBA TV, Spectrum SportsNet"	12/27/20	10:00 PM ET	MIN	LAL	Minnesota Timberwolves	Los Angeles Lakers	10	1	Staples Center	"Los Angeles, CA"	min	lal
41	https://www.nba.com/game/det-vs-atl-0022000041		12/28/20	7:30 PM ET	DET	ATL	Detroit Pistons	Atlanta Hawks	1	1	State Farm Arena	"Atlanta, GA"	det	atl
42	https://www.nba.com/game/mem-vs-bkn-0022000042	NBA TV	12/28/20	7:30 PM ET	MEM	BKN	Memphis Grizzlies	Brooklyn Nets	2	2	Barclays Center	"Brooklyn, NY"	mem	bkn
43	https://www.nba.com/game/uta-vs-okc-0022000043	Fox Sports Oklahoma	12/28/20	8:00 PM ET	UTA	OKC	Utah Jazz	Oklahoma City Thunder	3	1	Chesapeake Energy Arena	"Oklahoma City, OK"	uth	okc
44	https://www.nba.com/game/hou-vs-den-0022000044		12/28/20	9:00 PM ET	HOU	DEN	Houston Rockets	Denver Nuggets	4	1	Ball Arena	"Denver, CO"	hou	den
45	https://www.nba.com/game/por-vs-lal-0022000045	"NBA TV, Spectrum SportsNet, NBC Sports Northwest"	12/28/20	10:00 PM ET	POR	LAL	Portland Trail Blazers	Los Angeles Lakers	5	1	Staples Center	"Los Angeles, CA"	por	lal
46	https://www.nba.com/game/nyk-vs-cle-0022000046		12/29/20	7:00 PM ET	NYK	CLE	New York Knicks	Cleveland Cavaliers	1	1	Rocket Mortgage FieldHouse	"Cleveland, OH"	nyk	cle
47	https://www.nba.com/game/gsw-vs-det-0022000047		12/29/20	7:00 PM ET	GSW	DET	Golden State Warriors	Detroit Pistons	2	2	Little Caesars Arena	"Detroit, MI"	gsw	det
48	https://www.nba.com/game/bos-vs-ind-0022000048		12/29/20	7:00 PM ET	BOS	IND	Boston Celtics	Indiana Pacers	3	3	Bankers Life Fieldhouse	"Indianapolis, IN"	bos	ind
49	https://www.nba.com/game/tor-vs-phi-0022000049		12/29/20	7:00 PM ET	TOR	PHI	Toronto Raptors	Philadelphia 76ers	4	4	Wells Fargo Center	"Philadelphia, PA"	tor	phi
50	https://www.nba.com/game/chi-vs-was-0022000050		12/29/20	7:00 PM ET	CHI	WAS	Chicago Bulls	Washington Wizards	5	5	Capital One Arena	"Washington, DC"	chi	was
51	https://www.nba.com/game/mil-vs-mia-0022000051	TNT	12/29/20	7:30 PM ET	MIL	MIA	Milwaukee Bucks	Miami Heat	6	1	AmericanAirlines Arena	"Miami, FL"	mil	mia
52	https://www.nba.com/game/orl-vs-okc-0022000052	Fox Sports Oklahoma	12/29/20	8:00 PM ET	ORL	OKC	Orlando Magic	Oklahoma City Thunder	7	1	Chesapeake Energy Arena	"Oklahoma City, OK"	orl	okc
53	https://www.nba.com/game/nop-vs-phx-0022000053	TNT	12/29/20	10:00 PM ET	NOP	PHX	New Orleans Pelicans	Phoenix Suns	8	1	PHX Arena	"Phoenix, AZ"	no	phx
54	https://www.nba.com/game/min-vs-lac-0022000054	Fox Sports Prime Tic	12/29/20	10:00 PM ET	MIN	LAC	Minnesota Timberwolves	LA Clippers	9	2	Staples Center	"Los Angeles, CA"	min	lac
55	https://www.nba.com/game/den-vs-sac-0022000055		12/29/20	10:00 PM ET	DEN	SAC	Denver Nuggets	Sacramento Kings	10	3	Golden 1 Center	"Sacramento, CA"	den	sac
56	https://www.nba.com/game/mem-vs-bos-0022000056		12/30/20	7:30 PM ET	MEM	BOS	Memphis Grizzlies	Boston Celtics	1	1	TD Garden	"Boston, MA"	mem	bos
57	https://www.nba.com/game/atl-vs-bkn-0022000057		12/30/20	7:30 PM ET	ATL	BKN	Atlanta Hawks	Brooklyn Nets	2	2	Barclays Center	"Brooklyn, NY"	atl	bkn
58	https://www.nba.com/game/mil-vs-mia-0022000058	NBA TV	12/30/20	7:30 PM ET	MIL	MIA	Milwaukee Bucks	Miami Heat	3	3	AmericanAirlines Arena	"Miami, FL"	mil	mia
59	https://www.nba.com/game/cha-vs-dal-0022000059		12/30/20	8:30 PM ET	CHA	DAL	Charlotte Hornets	Dallas Mavericks	4	1	American Airlines Center	"Dallas, TX"	cha	dal
60	https://www.nba.com/game/lal-vs-sas-0022000060	Spectrum SportsNet	12/30/20	8:30 PM ET	LAL	SAS	Los Angeles Lakers	San Antonio Spurs	5	2	AT&T Center	"San Antonio, TX"	lal	sas
61	https://www.nba.com/game/por-vs-lac-0022000061	"NBA TV, Fox Sports Prime Tic, NBC Sports Northwest"	12/30/20	10:00 PM ET	POR	LAC	Portland Trail Blazers	LA Clippers	6	1	Staples Center	"Los Angeles, CA"	por	lac
62	https://www.nba.com/game/cle-vs-ind-0022000062		12/31/20	3:00 PM ET	CLE	IND	Cleveland Cavaliers	Indiana Pacers	1	1	Bankers Life Fieldhouse	"Indianapolis, IN"	cle	ind
63	https://www.nba.com/game/chi-vs-was-0022000063		12/31/20	5:00 PM ET	CHI	WAS	Chicago Bulls	Washington Wizards	2	1	Capital One Arena	"Washington, DC"	chi	was
64	https://www.nba.com/game/phi-vs-orl-0022000064	NBA TV	12/31/20	6:30 PM ET	PHI	ORL	Philadelphia 76ers	Orlando Magic	3	1	Amway Center	"Orlando, FL"	phi	orl
65	https://www.nba.com/game/sac-vs-hou-0022000065		12/31/20	7:00 PM ET	SAC	HOU	Sacramento Kings	Houston Rockets	4	1	Toyota Center	"Houston, TX"	sac	hou
66	https://www.nba.com/game/nyk-vs-tor-0022000066		12/31/20	7:30 PM ET	NYK	TOR	New York Knicks	Toronto Raptors	5	1	Amalie Arena	"Tampa, FL"	nyk	tor
67	https://www.nba.com/game/nop-vs-okc-0022000067	Fox Sports Oklahoma	12/31/20	8:00 PM ET	NOP	OKC	New Orleans Pelicans	Oklahoma City Thunder	6	1	Chesapeake Energy Arena	"Oklahoma City, OK"	no	okc
68	https://www.nba.com/game/phx-vs-uta-0022000068	NBA TV	12/31/20	9:00 PM ET	PHX	UTA	Phoenix Suns	Utah Jazz	7	1	Vivint Smart Home Arena	"Salt Lake City, UT"	phx	uth
69	https://www.nba.com/game/mem-vs-cha-0022000069		1/1/21	7:00 PM ET	MEM	CHA	Memphis Grizzlies	Charlotte Hornets	1	1	Spectrum Center	"Charlotte, NC"	mem	cha
70	https://www.nba.com/game/bos-vs-det-0022000070		1/1/21	7:00 PM ET	BOS	DET	Boston Celtics	Detroit Pistons	2	2	Little Caesars Arena	"Detroit, MI"	bos	det
71	https://www.nba.com/game/mia-vs-dal-0022000071		1/1/21	7:00 PM ET	MIA	DAL	Miami Heat	Dallas Mavericks	3	3	American Airlines Center	"Dallas, TX"	mia	dal
72	https://www.nba.com/game/atl-vs-bkn-0022000072		1/1/21	7:30 PM ET	ATL	BKN	Atlanta Hawks	Brooklyn Nets	4	1	Barclays Center	"Brooklyn, NY"	atl	bkn
73	https://www.nba.com/game/chi-vs-mil-0022000073		1/1/21	8:00 PM ET	CHI	MIL	Chicago Bulls	Milwaukee Bucks	5	1	Fiserv Forum	"Milwaukee, WI"	chi	mil
74	https://www.nba.com/game/was-vs-min-0022000074		1/1/21	8:00 PM ET	WAS	MIN	Washington Wizards	Minnesota Timberwolves	6	2	Target Center	"Minneapolis, MN"	was	min
75	https://www.nba.com/game/lal-vs-sas-0022000075	"NBA TV, Spectrum SportsNet"	1/1/21	8:00 PM ET	LAL	SAS	Los Angeles Lakers	San Antonio Spurs	7	3	AT&T Center	"San Antonio, TX"	lal	sas
76	https://www.nba.com/game/phx-vs-den-0022000076		1/1/21	9:00 PM ET	PHX	DEN	Phoenix Suns	Denver Nuggets	8	1	Ball Arena	"Denver, CO"	phx	den
77	https://www.nba.com/game/lac-vs-uta-0022000077	Fox Sports Prime Tic	1/1/21	9:00 PM ET	LAC	UTA	LA Clippers	Utah Jazz	9	2	Vivint Smart Home Arena	"Salt Lake City, UT"	lac	uth
78	https://www.nba.com/game/por-vs-gsw-0022000078	"NBA TV, NBC Sports Northwest"	1/1/21	10:30 PM ET	POR	GSW	Portland Trail Blazers	Golden State Warriors	10	1	Chase Center	"San Francisco, CA"	por	gsw
79	https://www.nba.com/game/sac-vs-hou-0022000079	NBA TV	1/2/21	5:00 PM ET	SAC	HOU	Sacramento Kings	Houston Rockets	1	1	Toyota Center	"Houston, TX"	sac	hou
80	https://www.nba.com/game/nyk-vs-ind-0022000080		1/2/21	7:00 PM ET	NYK	IND	New York Knicks	Indiana Pacers	2	1	Bankers Life Fieldhouse	"Indianapolis, IN"	nyk	ind
81	https://www.nba.com/game/okc-vs-orl-0022000081	Fox Sports Oklahoma	1/2/21	7:00 PM ET	OKC	ORL	Oklahoma City Thunder	Orlando Magic	3	2	Amway Center	"Orlando, FL"	okc	orl
82	https://www.nba.com/game/cha-vs-phi-0022000082		1/2/21	7:00 PM ET	CHA	PHI	Charlotte Hornets	Philadelphia 76ers	4	3	Wells Fargo Center	"Philadelphia, PA"	cha	phi
83	https://www.nba.com/game/cle-vs-atl-0022000083		1/2/21	7:30 PM ET	CLE	ATL	Cleveland Cavaliers	Atlanta Hawks	5	1	State Farm Arena	"Atlanta, GA"	cle	atl
84	https://www.nba.com/game/tor-vs-nop-0022000084	NBA TV	1/2/21	7:30 PM ET	TOR	NOP	Toronto Raptors	New Orleans Pelicans	6	2	Smoothie King Center	"New Orleans, LA"	tor	no
85	https://www.nba.com/game/bos-vs-det-0022000085	NBA TV	1/3/21	3:00 PM ET	BOS	DET	Boston Celtics	Detroit Pistons	1	1	Little Caesars Arena	"Detroit, MI"	bos	det
86	https://www.nba.com/game/was-vs-bkn-0022000086	NBA TV	1/3/21	6:00 PM ET	WAS	BKN	Washington Wizards	Brooklyn Nets	2	1	Barclays Center	"Brooklyn, NY"	was	bkn
87	https://www.nba.com/game/lal-vs-mem-0022000087	Spectrum SportsNet	1/3/21	6:00 PM ET	LAL	MEM	Los Angeles Lakers	Memphis Grizzlies	3	2	FedExForum	"Memphis, TN"	lal	mem
88	https://www.nba.com/game/den-vs-min-0022000088		1/3/21	7:00 PM ET	DEN	MIN	Denver Nuggets	Minnesota Timberwolves	4	1	Target Center	"Minneapolis, MN"	den	min
89	https://www.nba.com/game/uta-vs-sas-0022000089		1/3/21	7:00 PM ET	UTA	SAS	Utah Jazz	San Antonio Spurs	5	2	AT&T Center	"San Antonio, TX"	uth	sas
90	https://www.nba.com/game/dal-vs-chi-0022000090		1/3/21	8:00 PM ET	DAL	CHI	Dallas Mavericks	Chicago Bulls	6	1	United Center	"Chicago, IL"	dal	chi
91	https://www.nba.com/game/lac-vs-phx-0022000091	Fox Sports Prime Tic	1/3/21	8:00 PM ET	LAC	PHX	LA Clippers	Phoenix Suns	7	2	PHX Arena	"Phoenix, AZ"	lac	phx
92	https://www.nba.com/game/por-vs-gsw-0022000092	"NBA TV, NBC Sports Northwest"	1/3/21	8:30 PM ET	POR	GSW	Portland Trail Blazers	Golden State Warriors	8	1	Chase Center	"San Francisco, CA"	por	gsw
93	https://www.nba.com/game/cle-vs-orl-0022000093		1/4/21	7:00 PM ET	CLE	ORL	Cleveland Cavaliers	Orlando Magic	1	1	Amway Center	"Orlando, FL"	cle	orl
94	https://www.nba.com/game/cha-vs-phi-0022000094		1/4/21	7:00 PM ET	CHA	PHI	Charlotte Hornets	Philadelphia 76ers	2	2	Wells Fargo Center	"Philadelphia, PA"	cha	phi
