row_num,game_id,game_url,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,tv,local_tv,radio,arena,city,away_team_espn_abbr,home_team_espn_abbr
1,0022300061,https://www.nba.com/game/lal-vs-den-0022300061,2023-10-24,7:30 pm,LAL,DEN,Los Angeles Lakers,Denver Nuggets,1,1,TNT,ESPN Radio|Altitude Sports Radio 92.5 FM|ESPN LA 710/1330 KWKW,,,,lal,den
2,0022300062,https://www.nba.com/game/phx-vs-gsw-0022300062,2023-10-24,10:00 pm,PHX,GSW,Phoenix Suns,Golden State Warriors,2,1,TNT,95.7 The Game|KMVP 98.7 / S: KSUN,,,,phx,gsw
3,0022300063,https://www.nba.com/game/atl-vs-cha-0022300063,2023-10-25,7:00 pm,ATL,CHA,Atlanta Hawks,Charlotte Hornets,1,1,LEAGUE PASS,WFNZ 92.7 FM|WZGC,Bally Sports SE-CHA|Bally Sports SE-ATL,,,atl,cha
4,0022300064,https://www.nba.com/game/was-vs-ind-0022300064,2023-10-25,7:00 pm,WAS,IND,Washington Wizards,Indiana Pacers,2,2,LEAGUE PASS,93.5/107.5 The Fan|The Team 980 AM / WFED 1500 AM,Bally Sports Indiana|MNMT,,,was,ind
5,0022300065,https://www.nba.com/game/bos-vs-nyk-0022300065,2023-10-25,7:00 pm,BOS,NYK,Boston Celtics,New York Knicks,3,3,ESPN,ESPN NY 98.7|98.5 The Sports Hub,NBC Sports Boston,,,bos,nyk
6,0022300066,https://www.nba.com/game/hou-vs-orl-0022300066,2023-10-25,7:00 pm,HOU,ORL,Houston Rockets,Orlando Magic,4,4,LEAGUE PASS,WYGM 96.9FM / 740AM|790 AM / S: 93.3 FM,Bally Sports Florida|Space City Home Network,,,hou,orl
7,0022300067,https://www.nba.com/game/cle-vs-bkn-0022300067,2023-10-25,7:30 pm,CLE,BKN,Cleveland Cavaliers,Brooklyn Nets,5,1,LEAGUE PASS,101.9 FM / 660 AM|WTAM/WMMS/La Mega,YES|Bally Sports Ohio,,,cle,bkn
8,0022300068,https://www.nba.com/game/det-vs-mia-0022300068,2023-10-25,7:30 pm,DET,MIA,Detroit Pistons,Miami Heat,6,2,LEAGUE PASS,WQAM 560 / S: WAQI 710|97.1 FM The Ticket,Bally Sports Sun|Bally Sports DET,,,det,mia
9,0022300069,https://www.nba.com/game/min-vs-tor-0022300069,2023-10-25,7:30 pm,MIN,TOR,Minnesota Timberwolves,Toronto Raptors,7,3,LEAGUE PASS,Sportsnet 590,SN|Bally Sports North,,,min,tor
10,0022300070,https://www.nba.com/game/okc-vs-chi-0022300070,2023-10-25,8:00 pm,OKC,CHI,Oklahoma City Thunder,Chicago Bulls,8,1,LEAGUE PASS,670 AM / S: 1200 AM|WWLS 98.1FM OKC,NBC Sports Chicago|Bally Sports OK,,,okc,chi
