game_id,game_date,game_time_et,tv,away_team,home_team,away_team_full_name,home_team_full_name,arena,city,game_id_int,row_num,preview_url,local_tv,radio
0022300061,2023-10-24,7:30 pm,TNT,LAL,DEN,Los Angeles Lakers,Denver Nuggets,,,22300061,1,https://www.nba.com/game/lal-vs-den-0022300061,ESPN Radio|Altitude Sports Radio 92.5 FM|ESPN LA 710/1330 KWKW,
0022300062,2023-10-24,10:00 pm,TNT,PHX,GSW,Phoenix Suns,Golden State Warriors,,,22300062,2,https://www.nba.com/game/phx-vs-gsw-0022300062,95.7 The Game|KMVP 98.7 / S: KSUN,
0022300063,2023-10-25,7:00 pm,LEAGUE PASS,ATL,CHA,Atlanta Hawks,Charlotte Hornets,,,22300063,3,https://www.nba.com/game/atl-vs-cha-0022300063,WFNZ 92.7 FM|WZGC,Bally Sports SE-CHA|Bally Sports SE-ATL
0022300064,2023-10-25,7:00 pm,LEAGUE PASS,WAS,IND,Washington Wizards,Indiana Pacers,,,22300064,4,https://www.nba.com/game/was-vs-ind-0022300064,93.5/107.5 The Fan|The Team 980 AM / WFED 1500 AM,Bally Sports Indiana|MNMT
0022300065,2023-10-25,7:00 pm,ESPN,BOS,NYK,Boston Celtics,New York Knicks,,,22300065,5,https://www.nba.com/game/bos-vs-nyk-0022300065,ESPN NY 98.7|98.5 The Sports Hub,NBC Sports Boston
0022300066,2023-10-25,7:00 pm,LEAGUE PASS,HOU,ORL,Houston Rockets,Orlando Magic,,,22300066,6,https://www.nba.com/game/hou-vs-orl-0022300066,WYGM 96.9FM / 740AM|790 AM / S: 93.3 FM,Bally Sports Florida|Space City Home Network
0022300067,2023-10-25,7:30 pm,LEAGUE PASS,CLE,BKN,Cleveland Cavaliers,Brooklyn Nets,,,22300067,7,https://www.nba.com/game/cle-vs-bkn-0022300067,101.9 FM / 660 AM|WTAM/WMMS/La Mega,YES|Bally Sports Ohio
0022300068,2023-10-25,7:30 pm,LEAGUE PASS,DET,MIA,Detroit Pistons,Miami Heat,,,22300068,8,https://www.nba.com/game/det-vs-mia-0022300068,WQAM 560 / S: WAQI 710|97.1 FM The Ticket,Bally Sports Sun|Bally Sports DET
0022300069,2023-10-25,7:30 pm,LEAGUE PASS,MIN,TOR,Minnesota Timberwolves,Toronto Raptors,,,22300069,9,https://www.nba.com/game/min-vs-tor-0022300069,Sportsnet 590,SN|Bally Sports North
0022300070,2023-10-25,8:00 pm,LEAGUE PASS,OKC,CHI,Oklahoma City Thunder,Chicago Bulls,,,22300070,10,https://www.nba.com/game/okc-vs-chi-0022300070,670 AM / S: 1200 AM|WWLS 98.1FM OKC,NBC Sports Chicago|Bally Sports OK
